ID,Phylum
MAASV1608,Firmicutes
MAASV1619,Firmicutes
MAASV1616,Firmicutes
MAASV849,Firmicutes
MAASV1678,Firmicutes
MAASV1696,Firmicutes
MAASV1762,Firmicutes
MAASV1725,Firmicutes
MAASV1683,Firmicutes
MAASV1917,Firmicutes
MAASV2135,Firmicutes
MAASV2130,Firmicutes
MAASV2157,Firmicutes
MAASV2097,Firmicutes
MAASV2146,Firmicutes
MAASV2418,Firmicutes
MAASV2492,Firmicutes
MAASV2394,Firmicutes
MAASV2498,Firmicutes
MAASV2338,Firmicutes
MAASV2508,Firmicutes
MAASV2472,Firmicutes
MAASV2994,Firmicutes
MAASV2782,Firmicutes
MAASV2937,Firmicutes
MAASV2796,Firmicutes
MAASV3036,Firmicutes
MAASV2926,Firmicutes
MAASV2809,Firmicutes
MAASV3057,Firmicutes
SASV1,Firmicutes
SASV5,Firmicutes
SASV9,Firmicutes
SASV14,Firmicutes
SASV17,Firmicutes
SASV10,Firmicutes
SASV11,Firmicutes
SASV26,Firmicutes
SASV31,Firmicutes
SASV33,Firmicutes
SASV25,Firmicutes
SASV23,Firmicutes
SASV49,Firmicutes
SASV56,Firmicutes
SASV30,Firmicutes
SASV79,Firmicutes
SASV67,Firmicutes
SASV46,Firmicutes
SASV32,Firmicutes
SASV42,Firmicutes
SASV53,Firmicutes
SASV81,Firmicutes
SASV98,Firmicutes
SASV68,Firmicutes
SASV133,Firmicutes
SASV70,Firmicutes
SASV214,Firmicutes
SASV91,Firmicutes
SASV247,Firmicutes
SASV147,Firmicutes
SASV55,Firmicutes
SASV92,Firmicutes
SASV43,Firmicutes
SASV254,Firmicutes
SASV145,Firmicutes
SASV208,Firmicutes
SASV226,Firmicutes
SASV250,Firmicutes
SASV29,Firmicutes
SASV167,Firmicutes
SASV224,Firmicutes
SASV237,Firmicutes
SASV317,Firmicutes
SASV447,Firmicutes
SASV408,Firmicutes
SASV216,Firmicutes
SASV368,Firmicutes
SASV251,Firmicutes
