ID,rrn,doubling time
477,3,0.411426246
406,2.5,0.389566812
412,2.5,0.389566812
617,4,0.378511623
870,10.01,0.367371066
301,2,0.35614381
857,9.41,0.35614381
329,2,0.344828497
724,5.27,0.341036918
739,5.3,0.333730103
557,3.5,0.333423734
746,5.38,0.333423734
109,1,0.321928095
355,2.25,0.321928095
437,2.68,0.321928095
611,4,0.321928095
127,1,0.32067395
56,1,0.310340121
615,4,0.310340121
651,4.63,0.310340121
682,5,0.310340121
804,7,0.310340121
356,2.25,0.286881148
656,4.67,0.286881148
605,4,0.275007047
108,1,0.263034406
306,2,0.263034406
553,3.5,0.263034406
612,4,0.263034406
61,1,0.23878686
91,1,0.23878686
106,1,0.23878686
394,2.5,0.23878686
526,3,0.23878686
824,7.33,0.23878686
630,4.33,0.22650853
411,2.5,0.214124805
534,3.22,0.214124805
664,4.93,0.214124805
744,5.38,0.208199221
441,2.7,0.201633861
328,2,0.189033824
28,1,0.176322773
742,5.38,0.163498732
723,5.27,0.150559677
149,1,0.137503524
363,2.25,0.137503524
650,4.63,0.137503524
123,1,0.124328135
139,1,0.111031312
622,4,0.111031312
315,2,0.097610797
296,2,0.084064265
621,4,0.084064265
54,1,0.070389328
750,5.5,0.070389328
105,1,0.028569152
521,3,0.028569152
532,3.18,0.028569152
600,4,0.028569152
180,1.42,0
252,2,0
278,2,0
309,2,0
476,3,0
523,3,0
535,3.25,0
701,5.16,0
714,5.16,0
771,6,0
776,6,0
827,7.84,0
837,8.5,0
