ID,rrn ,ave,group
449,3.81,7.36323E-05,soybean
450,3.81,6.13602E-05,soybean
451,3.81,4.90882E-05,soybean
452,3.81,3.68161E-05,soybean
453,3.81,3.68161E-05,soybean
454,3.81,2.45441E-05,soybean
455,3.77,0.000932676,soybean
456,3.77,0.000576786,soybean
457,3.77,0.000220897,soybean
458,3.77,0.000184081,soybean
459,3.77,0.000134993,soybean
460,3.77,0.00012272,soybean
461,3.77,7.36323E-05,soybean
462,3.77,6.13602E-05,soybean
463,3.77,6.13602E-05,soybean
464,3.77,4.90882E-05,soybean
465,3.77,3.68161E-05,soybean
466,3.77,2.45441E-05,soybean
467,3.77,1.2272E-05,soybean
468,3.72,2.45441E-05,soybean
469,3.71,0.000503154,soybean
470,3.71,0.000343617,soybean
471,3.71,0.00012272,soybean
472,3.66,0.000343617,soybean
473,3.66,0.000343617,soybean
474,3.66,0.000282257,soybean
475,3.66,0.000257713,soybean
476,3.66,0.000233169,soybean
477,3.66,0.000233169,soybean
478,3.66,0.000184081,soybean
479,3.66,0.000134993,soybean
480,3.66,0.00012272,soybean
481,3.66,4.90882E-05,soybean
482,3.66,2.45441E-05,soybean
483,3.5,0.001104484,soybean
484,3.5,0.000589058,soybean
485,3.5,0.000441794,soybean
486,3.5,0.000368161,soybean
487,3.5,0.000368161,soybean
488,3.5,0.000331345,soybean
489,3.5,0.000257713,soybean
490,3.5,0.000245441,soybean
491,3.5,0.000245441,soybean
492,3.5,0.000245441,soybean
493,3.5,0.000233169,soybean
494,3.5,0.000196353,soybean
495,3.5,0.000184081,soybean
496,3.5,0.000171809,soybean
497,3.5,0.000159537,soybean
498,3.5,0.000110448,soybean
499,3.5,7.36323E-05,soybean
500,3.5,7.36323E-05,soybean
501,3.5,7.36323E-05,soybean
502,3.5,4.90882E-05,soybean
503,3.5,4.90882E-05,soybean
504,3.5,4.90882E-05,soybean
505,3.5,3.68161E-05,soybean
506,3.5,3.68161E-05,soybean
507,3.5,3.68161E-05,soybean
508,3.5,3.68161E-05,soybean
509,3.5,2.45441E-05,soybean
510,3.5,1.2272E-05,soybean
511,3.5,1.2272E-05,soybean
512,3.44,0.000515426,soybean
513,3.44,0.000257713,soybean
514,3.44,0.000184081,soybean
515,3.44,0.000159537,soybean
516,3.44,0.000134993,soybean
517,3.44,8.59043E-05,soybean
518,3.44,7.36323E-05,soybean
519,3.44,6.13602E-05,soybean
520,3.44,4.90882E-05,soybean
521,3.44,3.68161E-05,soybean
522,3.44,3.68161E-05,soybean
523,3.44,3.68161E-05,soybean
524,3.18,0.020752031,soybean
525,3.18,0.015057801,soybean
526,3.18,0.003792062,soybean
527,3.18,0.003669342,soybean
528,3.18,0.002810299,soybean
529,3.18,0.00222124,soybean
530,3.18,0.002024888,soybean
531,3.18,0.001865351,soybean
532,3.18,0.001509462,soybean
