#OTU ID,Y,Y20,Y20G,Y4,Y80,Y80G,taxonomy,rrn,rarity group
ASV_171,176,98,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae,10.65,MT
ASV_172,0,193,0,0,28,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Kribbella,1.18,CRT
ASV_173,190,0,0,148,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,#N/A,#N/A
ASV_174,174,209,1,0,1,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Lentzea;s__Lechevalieria_aerocolonigenes,#N/A,#N/A
ASV_175,4,112,0,0,94,1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium,2.95,CRT
ASV_176,0,0,0,168,0,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Pantoea,1.5,CRT
ASV_177,0,0,150,44,0,2,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,10.65,CRT
ASV_178,0,0,0,13,145,29,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agromyces,2,MT
ASV_179,21,69,0,0,279,1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,#N/A,#N/A
ASV_18,453,2198,13,27,22,3,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Lentzea;s__Lentzea_flaviverrucosa,2.5,MT
ASV_180,133,18,0,0,14,13,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,#N/A,#N/A
ASV_181,0,52,0,2,223,1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,1.67,CRT
